序号,传输方向,第几路CAN,时间标识,增量时间,帧 ID,帧类型,帧格式,数据长度,数据,
177,接收,0,13:39:01.429.571 ,00:00:00.003.884 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
178,接收,0,13:39:01.431.580 ,00:00:00.002.009 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
179,接收,0,13:39:01.432.159 ,00:00:00.000.579 ,0x18FFA200,数据帧,扩展帧,08,ff f5 05 ff ff 00 ff ff ,
180,接收,0,13:39:01.433.683 ,00:00:00.001.524 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
181,接收,0,13:39:01.439.576 ,00:00:00.005.893 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
182,接收,0,13:39:01.440.164 ,00:00:00.000.588 ,0x18FEE500,数据帧,扩展帧,08,00 00 00 00 ff ff ff ff ,
183,接收,0,13:39:01.441.576 ,00:00:00.001.412 ,0x0CFF0500,数据帧,扩展帧,08,7d 7d 7d ff ff ff ff ff ,
184,接收,0,13:39:01.442.164 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
185,接收,0,13:39:01.449.568 ,00:00:00.007.404 ,0x0CF00400,数据帧,扩展帧,08,f0 7d 7d 00 00 00 ff ff ,
186,接收,0,13:39:01.450.156 ,00:00:00.000.588 ,0x18FFDC00,数据帧,扩展帧,08,10 ff ff ff ff c1 ff ff ,
187,接收,0,13:39:01.451.576 ,00:00:00.001.420 ,0x0CF00300,数据帧,扩展帧,08,d1 00 64 ff ff ff ff ff ,
